Shot Code Received ,Shot Code to be Renamed,Naming Convention
48/14,GEN63_SC_48_SH_0160,_main_plate_v001
48/21,GEN63_SC_48_SH_0270,_main_plate_v001
48/22,GEN63_SC_48_SH_0300,_main_plate_v001
48/26,GEN63_SC_48_SH_0310,_main_plate_v001
48/32,GEN63_SC_48_SH_0380,_main_plate_v001
48/32ball,GEN63_SC_48_SH_0380,_chrome_ball_v001
48/32empty,GEN63_SC_48_SH_0380,_clean_plate_v001
48/33,GEN63_SC_48_SH_0390,_main_plate_v001
48/34,GEN63_SC_48_SH_0400,_main_plate_v001
48/35,GEN63_SC_48_SH_0410,_main_plate_v001
48/35ref-1,GEN63_SC_48_SH_0410,_ref_v001
48/35ball,GEN63_SC_48_SH_0410,_chrome_ball_v001
48/35_02,GEN63_SC_48_SH_0410,_main_plate_v002
48/35A_02,GEN63_SC_48_SH_0420,_main_plate_v001
48/35Aref-1,GEN63_SC_48_SH_0420,_ref_v001
48/35Aref-1_02,GEN63_SC_48_SH_0420,_ref_v002
48/35Aref-1_03,GEN63_SC_48_SH_0420,_ref_v003
48/35Aref-1,GEN63_SC_48_SH_0440,_ref_v001
48/37,GEN63_SC_48_SH_0450,_main_plate_v001
48/37_02,GEN63_SC_48_SH_0450,_chrome_ball_v001
48/39,GEN63_SC_48_SH_0470,_main_plate_v001
48/39ref-1,GEN63_SC_48_SH_0470,_ref_v001
48/40ball,GEN63_SC_48_SH_0480,_chrome_ball_v001
48/40ball_02,GEN63_SC_48_SH_0480,_chrome_ball_v002
48/41,GEN63_SC_48_SH_0490,_main_plate_v001
48/42,GEN63_SC_48_SH_0500,_main_plate_v001
48/42ref-1,GEN63_SC_48_SH_0500,_ref_v001
48/43,GEN63_SC_48_SH_0510,_main_plate_v001
48/43ref-1,GEN63_SC_48_SH_0510,_ref_v001
48/43ball,GEN63_SC_48_SH_0510,_chrome_ball_v001
48/45A,GEN63_SC_48_SH_0530,_main_plate_v001
48/45Aref,GEN63_SC_48_SH_0530,_ref_v001
48/45B,GEN63_SC_48_SH_0540,_main_plate_v001
48/45Bref,GEN63_SC_48_SH_0540,_ref_v001